movieid,title,cluster_no
800,Lone Star,0
801,Harriet the Spy,7
802,Phenomenon,12
803,Walking and Talking,10
804,She's the One,11
805,"Time to Kill, A",6
806,American Buffalo,9
808,Alaska,4
809,Fled,3
810,Kazaam,17
813,Larger Than Life,7
818,"Very Brady Sequel, A",7
823,"Collector, The (La collectionneuse)",0
824,Kaspar Hauser,0
828,"Adventures of Pinocchio, The",4
829,Joe's Apartment,7
830,"First Wives Club, The",7
832,Ransom,5
833,High School High,7
835,Foxfire,0
836,Chain Reaction,3
837,Matilda,17
838,Emma,10
839,"Crow: City of Angels, The",14
840,House Arrest,7
841,"Eyes Without a Face (Yeux sans visage, Les)",2
842,Tales from the Crypt Presents: Bordello of Blood,7
848,"Spitfire Grill, The",0
849,Escape from L.A.,13
851,Basquiat,0
852,Tin Cup,10
858,"Godfather, The",9
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha),16
866,Bound,9
867,Carpool,7
869,Kansas City,9
870,Gone Fishin',7
875,Nothing to Lose,16
876,Supercop 2 (Project S) (Chao ji ji hua),16
879,"Relic, The",2
880,"Island of Dr. Moreau, The",15
881,First Kid,7
882,"Trigger Effect, The",6
885,Bogus,4
886,Bulletproof,16
888,Land Before Time III: The Time of the Great Giving,4
889,1-900 (06),12
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers),2
892,Twelfth Night,10
893,Mother Night,0
896,Wild Reeds (Les roseaux sauvages),0
897,For Whom the Bell Tolls,12
898,"Philadelphia Story, The",10
899,Singin' in the Rain,11
900,"American in Paris, An",12
901,Funny Face,7
902,Breakfast at Tiffany's,12
903,Vertigo,6
904,Rear Window,5
905,It Happened One Night,11
906,Gaslight,6
907,"Gay Divorcee, The",11
908,North by Northwest,3
909,"Apartment, The",10
910,Some Like It Hot,7
911,Charade,5
912,Casablanca,12
913,"Maltese Falcon, The",8
914,My Fair Lady,10
915,Sabrina,11
916,Roman Holiday,10
917,"Little Princess, The",0
918,Meet Me in St. Louis,8
919,"Wizard of Oz, The",4
920,Gone with the Wind,12
921,My Favorite Year,7
922,Sunset Blvd. (a.k.a. Sunset Boulevard),12
923,Citizen Kane,0
924,2001: A Space Odyssey,13
926,All About Eve,0
927,"Women, The",7
928,Rebecca,6
929,Foreign Correspondent,6
930,Notorious,5
931,Spellbound,5
932,"Affair to Remember, An",12
933,To Catch a Thief,5
934,Father of the Bride,7
935,"Band Wagon, The",7
936,Ninotchka,11
937,Love in the Afternoon,11
938,Gigi,8
940,"Adventures of Robin Hood, The",3
941,"Mark of Zorro, The",8
942,Laura,5
943,"Ghost and Mrs. Muir, The",12
944,Lost Horizon,0
945,Top Hat,11
946,To Be or Not to Be,1
947,My Man Godfrey,11
948,Giant,12
949,East of Eden,0
950,"Thin Man, The",7
951,His Girl Friday,11
952,Around the World in 80 Days,7
953,It's a Wonderful Life,12
954,Mr. Smith Goes to Washington,0
955,Bringing Up Baby,11
956,Penny Serenade,12
959,Of Human Bondage,0
961,Little Lord Fauntleroy,0
963,"Inspector General, The",8
965,"39 Steps, The",6
968,Night of the Living Dead,15
969,"African Queen, The",11
970,Beat the Devil,10
971,Cat on a Hot Tin Roof,0
973,Meet John Doe,1
976,"Farewell to Arms, A",12
979,Nothing Personal,0
981,Dangerous Ground,0
982,Picnic,0
984,"Pompatus of Love, The",1
986,Fly Away Home,4
987,Bliss,12
988,Grace of My Heart,1
990,Maximum Risk,3
991,Michael Collins,0
993,Infinity,0
994,Big Night,1
996,Last Man Standing,16
998,Set It Off,16
999,2 Days in the Valley,8
1003,Extreme Measures,6
1004,"Glimmer Man, The",14
1005,D3: The Mighty Ducks,7
1006,"Chamber, The",0
1007,"Apple Dumpling Gang, The",7
1008,"Davy Crockett, King of the Wild Frontier",8
1009,Escape to Witch Mountain,4
1010,"Love Bug, The",7
1011,Herbie Rides Again,11
1012,Old Yeller,0
1013,"Parent Trap, The",11
1014,Pollyanna,1
1015,Homeward Bound: The Incredible Journey,4
1016,"Shaggy Dog, The",7
1017,Swiss Family Robinson,4
1018,That Darn Cat!,7
1019,"20,000 Leagues Under the Sea",13
1020,Cool Runnings,7
1021,Angels in the Outfield,7
1022,Cinderella,4
1023,Winnie the Pooh and the Blustery Day,4
1024,"Three Caballeros, The",4
1025,"Sword in the Stone, The",4
1027,Robin Hood: Prince of Thieves,0
1028,Mary Poppins,17
1029,Dumbo,4
1030,Pete's Dragon,4
1031,Bedknobs and Broomsticks,4
1032,Alice in Wonderland,4
1033,"Fox and the Hound, The",4
1034,Freeway,9
1035,"Sound of Music, The",12
1036,Die Hard,16
1037,"Lawnmower Man, The",15
1040,"Secret Agent, The",0
1041,Secrets & Lies,0
1042,That Thing You Do!,1
1043,To Gillian on Her 37th Birthday,12
1046,Beautiful Thing,12
1047,"Long Kiss Goodnight, The",6
1049,"Ghost and the Darkness, The",3
1050,Looking for Richard,0
1051,Trees Lounge,0
1053,Normal Life,12
1054,Get on the Bus,0
1055,Shadow Conspiracy,5
1056,Jude,0
1057,Everyone Says I Love You,11
1059,William Shakespeare's Romeo + Juliet,12
1060,Swingers,1
1061,Sleepers,5
1064,Aladdin and the King of Thieves,17
1066,Shall We Dance,11
1068,Crossfire,8
1073,Willy Wonka & the Chocolate Factory,17
1076,"Innocents, The",6
1077,Sleeper,7
1078,Bananas,7
1079,"Fish Called Wanda, A",7
1080,Monty Python's Life of Brian,7
1081,Victor/Victoria,11
1082,"Candidate, The",0
1083,"Great Race, The",7
1084,Bonnie and Clyde,9
1085,"Old Man and the Sea, The",0
1086,Dial M for Murder,5
1088,Dirty Dancing,12
1089,Reservoir Dogs,5
1090,Platoon,0
1091,Weekend at Bernie's,7
1092,Basic Instinct,5
1093,"Doors, The",0
1094,"Crying Game, The",12
1095,Glengarry Glen Ross,0
1096,Sophie's Choice,0
1097,E.T. the Extra-Terrestrial,0
1099,"Christmas Carol, A",4
1100,Days of Thunder,12
1101,Top Gun,14
1103,Rebel Without a Cause,0
1104,"Streetcar Named Desire, A",0
1105,Children of the Corn IV: The Gathering,2
1107,Loser,7
1111,Microcosmos (Microcosmos: Le peuple de l'herbe),8
1112,Palookaville,1
1114,"Funeral, The",9
1116,"Single Girl, A (Fille seule, La)",0
1117,"Eighth Day, The (Huitième jour, Le)",0
1119,Drunks,0
1120,"People vs. Larry Flynt, The",1
1121,Glory Daze,0
1123,"Perfect Candidate, A",8
1124,On Golden Pond,0
1125,"Return of the Pink Panther, The",7
1126,Drop Dead Fred,7
1127,"Abyss, The",13
1128,"Fog, The",2
1129,Escape from New York,13
1130,"Howling, The",2
1131,Jean de Florette,0
1132,Manon of the Spring (Manon des sources),0
1135,Private Benjamin,7
1136,Monty Python and the Holy Grail,17
1137,Hustler White,12
1140,Entertaining Angels: The Dorothy Day Story,0
1144,"Line King: The Al Hirschfeld Story, The",8
1147,When We Were Kings,8
1148,Wallace & Gromit: The Wrong Trousers,17
1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le)",0
1151,Lesson Faust,1
1156,"Children Are Watching Us, The (Bambini ci guardano, I)",0
1161,"Tin Drum, The (Blechtrommel, Die)",0
1162,"Ruling Class, The",1
1163,Mina Tannenbaum,0
1167,Dear God,7
1170,Best of the Best 3: No Turning Back,14
1171,Bob Roberts,7
1172,Cinema Paradiso (Nuovo cinema Paradiso),0
1173,"Cook the Thief His Wife & Her Lover, The",1
1175,Delicatessen,10
1176,"Double Life of Veronique, The (Double Vie de Véronique, La)",12
1177,Enchanted April,12
1178,Paths of Glory,0
1179,"Grifters, The",9
1180,Hear My Song,7
1183,"English Patient, The",12
1184,Mediterraneo,1
1185,My Left Foot,0
1186,"Sex, Lies, and Videotape",0
1187,Passion Fish,0
1188,Strictly Ballroom,11
1189,"Thin Blue Line, The",8
1190,Tie Me Up! Tie Me Down! (¡Átame!),12
1191,Madonna: Truth or Dare,8
1192,Paris Is Burning,8
1193,One Flew Over the Cuckoo's Nest,0
1194,Cheech and Chong's Up in Smoke,7
1196,Star Wars: Episode V - The Empire Strikes Back,13
1197,"Princess Bride, The",3
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),3
1199,Brazil,15
1200,Aliens,13
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",3
1202,Withnail & I,7
1203,12 Angry Men,0
1204,Lawrence of Arabia,0
1206,"Clockwork Orange, A",9
1207,To Kill a Mockingbird,0
1208,Apocalypse Now,0
1209,Once Upon a Time in the West (C'era una volta il West),0
1210,Star Wars: Episode VI - Return of the Jedi,13
1211,"Wings of Desire (Himmel über Berlin, Der)",12
1212,"Third Man, The",5
1213,Goodfellas,9
1214,Alien,15
1215,Army of Darkness,3
1216,"Big Blue, The (Grand bleu, Le)",12
1217,Ran,0
1218,"Killer, The (Die xue shuang xiong)",16
1219,Psycho,2
1220,"Blues Brothers, The",7
1221,"Godfather: Part II, The",9
1222,Full Metal Jacket,0
1223,"Grand Day Out with Wallace and Gromit, A",17
1224,Henry V,12
1225,Amadeus,0
1226,"Quiet Man, The",12
1227,Once Upon a Time in America,9
1228,Raging Bull,0
1230,Annie Hall,11
1231,"Right Stuff, The",0
1232,Stalker,0
1233,"Boot, Das (Boat, The)",0
1234,"Sting, The",7
1235,Harold and Maude,10
1236,Trust,10
1237,"Seventh Seal, The (Sjunde inseglet, Det)",0
1238,Local Hero,7
1240,"Terminator, The",14
1241,Dead Alive (Braindead),2
1242,Glory,0
1243,Rosencrantz and Guildenstern Are Dead,1
1244,Manhattan,10
1245,Miller's Crossing,9
1246,Dead Poets Society,0
1247,"Graduate, The",10
1248,Touch of Evil,5
1249,"Femme Nikita, La (Nikita)",16
1250,"Bridge on the River Kwai, The",0
1251,8 1/2 (8½),0
1252,Chinatown,5
1253,"Day the Earth Stood Still, The",6
1254,"Treasure of the Sierra Madre, The",3
1255,Bad Taste,15
1256,Duck Soup,7
1257,Better Off Dead...,11
1258,"Shining, The",2
1259,Stand by Me,0
1260,M,5
1261,Evil Dead II (Dead by Dawn),2
1262,"Great Escape, The",3
1263,"Deer Hunter, The",0
1264,Diva,6
1265,Groundhog Day,11
1266,Unforgiven,0
1267,"Manchurian Candidate, The",5
1268,Pump Up the Volume,1
1269,Arsenic and Old Lace,5
1270,Back to the Future,13
1271,Fried Green Tomatoes,1
1272,Patton,0
1273,Down by Law,1
1274,Akira,13
